Fecha,Hora,TM,HRM%,PPT,RS
02-08-2023,10:00 - 10:30,31.9,52,0.0,823
02-08-2023,10:30 - 11:00,31.8,57,0.0,857
02-08-2023,11:00 - 11:30,32.1,55,0.0,890
02-08-2023,11:30 - 12:00,32.7,51,0.0,911
02-08-2023,12:00 - 12:30,32.8,49,0.0,910
02-08-2023,12:30 - 13:00,33.3,47,0.0,895
02-08-2023,13:00 - 13:30,33.0,51,0.0,866
02-08-2023,13:30 - 14:00,32.6,53,0.0,827
02-08-2023,14:00 - 14:30,32.7,51,0.0,770
02-08-2023,14:30 - 15:00,33.0,50,0.0,707
02-08-2023,15:00 - 15:30,33.0,49,0.0,634
02-08-2023,15:30 - 16:00,33.0,48,0.0,554
02-08-2023,16:00 - 16:30,32.5,53,0.0,466
02-08-2023,16:30 - 17:00,32.2,54,0.0,367
02-08-2023,17:00 - 17:30,31.9,55,0.0,264
02-08-2023,17:30 - 18:00,31.1,57,0.0,172
02-08-2023,18:00 - 18:30,30.2,62,0.0,73
02-08-2023,18:30 - 19:00,29.2,66,0.0,21
02-08-2023,19:00 - 19:30,28.5,68,0.0,0
02-08-2023,19:30 - 20:00,28.0,70,0.0,0
02-08-2023,20:00 - 20:30,27.6,73,0.0,0
02-08-2023,20:30 - 21:00,27.1,76,0.0,0
02-08-2023,21:00 - 21:30,26.8,79,0.0,0
02-08-2023,21:30 - 22:00,26.4,79,0.0,0
02-08-2023,22:00 - 22:30,26.3,81,0.0,0
02-08-2023,22:30 - 23:00,26.5,81,0.0,0
02-08-2023,23:00 - 23:30,26.2,85,0.0,0
02-08-2023,23:30 - 00:00,26.0,87,0.0,0
03-08-2023,00:00 - 00:30,25.9,89,0.0,0
03-08-2023,00:30 - 01:00,25.7,88,0.0,0
03-08-2023,01:00 - 01:30,25.5,87,0.0,0
03-08-2023,01:30 - 02:00,25.3,87,0.0,0
03-08-2023,02:00 - 02:30,25.4,86,0.0,0
03-08-2023,02:30 - 03:00,25.1,86,0.0,0
03-08-2023,03:00 - 03:30,25.1,80,0.0,0
03-08-2023,03:30 - 04:00,24.8,81,0.0,0
03-08-2023,04:00 - 04:30,24.5,83,0.0,0
03-08-2023,04:30 - 05:00,24.6,82,0.0,2
03-08-2023,05:00 - 05:30,24.3,83,0.0,21
03-08-2023,05:30 - 06:00,24.9,78,0.0,59
03-08-2023,06:00 - 06:30,25.3,73,0.0,124
03-08-2023,06:30 - 07:00,25.5,72,0.0,83
03-08-2023,07:00 - 07:30,25.0,74,0.0,44
03-08-2023,07:30 - 08:00,24.0,71,0.1,127
03-08-2023,08:00 - 08:30,23.8,66,0.0,171
03-08-2023,08:30 - 09:00,22.3,71,0.0,207
03-08-2023,09:00 - 09:30,21.4,79,0.4,96
03-08-2023,09:30 - 10:00,20.4,89,0.2,101
03-08-2023,10:00 - 10:30,21.3,91,0.6,179
03-08-2023,10:30 - 11:00,23.5,85,0.0,706
03-08-2023,11:00 - 11:30,24.6,78,0.0,605
03-08-2023,11:30 - 12:00,24.2,74,0.0,306
03-08-2023,12:00 - 12:30,25.6,67,0.0,778
03-08-2023,12:30 - 13:00,27.2,57,0.0,922
03-08-2023,13:00 - 13:30,26.9,55,0.0,870
03-08-2023,13:30 - 14:00,27.4,55,0.0,835
03-08-2023,14:00 - 14:30,27.3,57,0.0,794
03-08-2023,14:30 - 15:00,27.5,56,0.0,733
03-08-2023,15:00 - 15:30,27.1,58,0.0,724
03-08-2023,15:30 - 16:00,26.0,61,0.0,477
03-08-2023,16:00 - 16:30,26.1,60,0.0,478
03-08-2023,16:30 - 17:00,25.7,61,0.0,343
03-08-2023,17:00 - 17:30,24.5,65,0.0,127
03-08-2023,17:30 - 18:00,23.8,67,0.0,59
03-08-2023,18:00 - 18:30,23.5,70,0.0,29
03-08-2023,18:30 - 19:00,23.1,71,0.0,14
03-08-2023,19:00 - 19:30,22.5,72,0.0,0
03-08-2023,19:30 - 20:00,22.3,72,0.0,0
03-08-2023,20:00 - 20:30,22.5,72,0.0,0
03-08-2023,20:30 - 21:00,22.3,71,0.0,0
03-08-2023,21:00 - 21:30,22.2,71,0.0,0
03-08-2023,21:30 - 22:00,22.6,70,0.0,0
03-08-2023,22:00 - 22:30,22.5,69,0.0,0
